Salesforce_Table,Sensible_Python_Key,Actual_Salesforce_API_Name,Data_Type,Description,ScriptsUsing
Company_Profile_Change__c,pu_effective_date,Effective_Date__c,,,TRUE
Company_Profile_Change__c,pu_sub_email,Email__c,,,TRUE
Company_Profile_Change__c,pu_q_equipment_moved,Existing_equipment_moved_to_new_facility__c,,,TRUE
Company_Profile_Change__c,pu_id,Id,Id,The unique tracking token for the custom intake record,TRUE
Company_Profile_Change__c,pu_is_cert_or_principal,Is_Cert_or_Principal__c,,,FALSE
Company_Profile_Change__c,pu_isdeleted,IsDeleted,,,FALSE
Company_Profile_Change__c,pu_lastactivitydate,LastActivityDate,,,FALSE
Company_Profile_Change__c,pu_lastmodifiedbyid,LastModifiedById,,,FALSE
Company_Profile_Change__c,pu_lastmodifieddate,LastModifiedDate,,,FALSE
Company_Profile_Change__c,pu_lastreferenceddate,LastReferencedDate,,,FALSE
Company_Profile_Change__c,pu_lastvieweddate,LastViewedDate,,,FALSE
Company_Profile_Change__c,pu_name,Name,,,TRUE
Company_Profile_Change__c,pu_submitter,Name__c,,,TRUE
Company_Profile_Change__c,pu_ny_email,NY_Email__c,,,TRUE
Company_Profile_Change__c,pu_ny_first_name,NY_First_Name__c,,,TRUE
Company_Profile_Change__c,pu_ny_last_name,NY_Last_Name__c,,,TRUE
Company_Profile_Change__c,pu_ny_phone,NY_Phone__c,,,TRUE
Company_Profile_Change__c,pu_personnel_notes,Other_Personnel_Notes__c,,,TRUE
Company_Profile_Change__c,pu_ownerid,OwnerId,,,FALSE
Company_Profile_Change__c,pu_phone,Phone__c,,,TRUE
Company_Profile_Change__c,pu_principal_email,Principal_Email__c,,,TRUE
Company_Profile_Change__c,pu_principal_first_name,Principal_First_Name__c,,,TRUE
Company_Profile_Change__c,pu_principal_last_name,Principal_Last_Name__c,,,TRUE
Company_Profile_Change__c,pu_principal_phone,Principal_Phone__c,,,TRUE
Company_Profile_Change__c,pu_principal_title,Principal_Title__c,,,TRUE
Company_Profile_Change__c,pu_qc_title,QC_Title__c,,,TRUE
Company_Profile_Change__c,pu_quality_email,Quality_Email__c,,,TRUE
Company_Profile_Change__c,pu_quality_first_name,Quality_First_Name__c,,,TRUE
Company_Profile_Change__c,pu_quality_last_name,Quality_Last_Name__c,,,TRUE
Company_Profile_Change__c,pu_quality_phone,Quality_Phone__c,,,TRUE
Company_Profile_Change__c,pu_rev_acctname,Revised_Company_Name__c,Text,Sanitized with fix_capitalization utility function,TRUE
Company_Profile_Change__c,pu_rev_owner,Revised_Company_Owner__c,Text,Sanitized with fix_capitalization utility function,TRUE
Company_Profile_Change__c,pu_rev_city,Revised_Facility_City__c,Text,Blanks automatically backfilled from BillingCity if partial layout found,TRUE
Company_Profile_Change__c,pu_rev_country,Revised_Facility_Country__c,Text,"Sanitized with fix_capitalization, backfilled from BillingCountry",TRUE
Company_Profile_Change__c,pu_rev_state,Revised_Facility_State__c,Text,"Forced to uppercase, backfilled from BillingState",TRUE
Company_Profile_Change__c,pu_rev_street,Revised_Facility_Street__c,Text,Blanks automatically backfilled from BillingStreet if partial layout found,TRUE
Company_Profile_Change__c,pu_rev_zip,Revised_Facility_Zip__c,Text,"Stripped of whitespace, backfilled from BillingPostalCode",TRUE
Company_Profile_Change__c,pu_status,Status__c,,,TRUE
Company_Profile_Change__c,pu_systemmodstamp,SystemModstamp,,,FALSE
Company_Profile_Change__c,pu_type,Type__c,,,TRUE
Company_Profile_Change__c,pu_q_new_equipment,Will_new_equipment_be_purchased__c,,,TRUE
Company_Profile_Change__c,pu_q_old_equipment,Will_old_equipment_be_removed__c,,,TRUE
Company_Profile_Change__c,pu_q_qms_change,Will_QMS_or_documentation_change__c,,,TRUE
Company_Profile_Change__c,pu_q_software_change,Will_software_change__c,,,TRUE
Company_Profile_Change__c,pu_q_personnel_change,Will_you_change_personnel__c,,,TRUE
Contact,contact_ac_label,AC_Label__c,,,FALSE
Contact,contact_accept_gr,Accept_GR__c,,,FALSE
Contact,contact_acctid,AccountId,Lookup (Account),Ties the contact to their home company,TRUE
Contact,contact_cert_contact_role,Cert_Contact_Role__c,,,FALSE
Contact,contact_certificationid,Certification_ID__c,,,FALSE
Contact,contact_contactsource,ContactSource,,,FALSE
Contact,contact_createdbyid,CreatedById,,,FALSE
Contact,contact_createddate,CreatedDate,,,FALSE
Contact,contact_department,Department,,,FALSE
Contact,contact_email,Email,Email,The primary unique communication email address,TRUE
Contact,contact_emailbounceddate,EmailBouncedDate,,,FALSE
Contact,contact_emailbouncedreason,EmailBouncedReason,,,FALSE
Contact,contact_engagement_stage,Engagement_Stage__c,,,FALSE
Contact,contact_fax,Fax,,,FALSE
Contact,contact_first,FirstName,Text,"Used for name equivalency checks (e.g., Bob vs Robert)",TRUE
Contact,contact_from_lead,From_Lead__c,,,FALSE
Contact,contact_id,Id,Id,The unique Salesforce identifier for an individual person,TRUE
Contact,contact_imisbusinesscity,IMISBusinessCity__c,,,FALSE
Contact,contact_imisbusinesscountry,IMISBusinessCountry__c,,,FALSE
Contact,contact_imisbusinesspostalcode,IMISBusinessPostalCode__c,,,FALSE
Contact,contact_imisbusinessstate,IMISBusinessState__c,,,FALSE
Contact,contact_imisbusinessstreet,IMISBusinessStreet__c,,,FALSE
Contact,contact_imisemail,IMISEmail__c,,,FALSE
Contact,contact_imisid,IMISID__c,,,FALSE
